Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Lasalgaon,Niphad,9.2,Red,3,Residential,1,0,31,18.9,None,9,1,0,309500,333500
Dwarka,Nashik,20.03,Black,10,NA,1,0,31,19.1,Borewell,7,2,0,1135000,1192000
Peth,Nashik,3.95,Black,8,Agricultural,1,1,80,8.9,Canal,5,5,0,654500,687500
Mulegaon,Sinnar,12.38,Black_Red_Mixed,6,NA,0,0,51,10.7,Borewell,1,0,1,321500,331500
Harsul,Chandwad,12.95,Black_Red_Mixed,7,Residential,0,1,36,20.7,Borewell,7,0,1,166000,166000
Tambepada,Niphad,8.23,Black,8,Agricultural,1,1,97,4.4,River,5,1,1,360500,377500
Mhasrul,Nashik,14.46,Red,7,Agricultural,1,0,87,3.4,Well,7,1,0,647000,674000
Khamgaon,Yeola,15.4,Red,6,Residential,0,0,10,7.7,Borewell,5,0,1,178000,173500
Vadgaon,Nashik,9.93,Black_Red_Mixed,5,Agricultural,1,0,52,16.6,Borewell,2,3,0,468000,449000
Thengode,Niphad,20.8,Black,7,NA,0,0,10,9.6,Borewell,10,3,0,382500,385000
Pimpri Kadu,Chandwad,2.69,Black_Red_Mixed,6,Agricultural,1,1,57,4.9,Borewell,3,1,0,120000,120000
Harsul,Chandwad,8.28,Red,4,Commercial,1,1,40,10.6,Borewell,1,5,1,217500,198500
Nandur,Nashik,4.57,Black,8,NA,0,0,24,27.4,River,6,2,0,830000,744500
Dwarka,Nashik,11.71,Black_Red_Mixed,6,Agricultural,0,1,45,16,Borewell,4,0,0,514500,520500
Talegaon,Chandwad,22.3,Black_Red_Mixed,8,Agricultural,1,0,49,24.8,Borewell,10,1,0,92500,93000
Nimgaon,Yeola,16.6,Black,8,Agricultural,1,1,62,13.3,Well,10,4,1,90000,91000
Ozar,Niphad,19.69,Red,7,Agricultural,1,1,69,12.4,Borewell,5,2,0,330000,335500
Wadivarhe,Sinnar,24.93,Black,9,Commercial,1,1,14,24,Borewell,6,5,1,629500,619500
Chandori,Niphad,19.47,Black,10,Agricultural,1,0,68,13,River,3,5,0,273000,301500
Khambale,Sinnar,14.77,Black_Red_Mixed,5,NA,1,0,23,22.2,River,10,4,0,374000,332000
Girnare,Nashik,3.38,Black,9,NA,1,1,38,6.4,Canal,9,4,0,1399500,1318500
Uchit,Chandwad,12.96,Black_Red_Mixed,8,Agricultural,0,1,43,23.3,None,8,3,0,48500,48000
Darna,Niphad,0.46,Black,8,Agricultural,0,1,88,25.5,None,5,2,0,164000,145000
Pale,Sinnar,21.77,Black,7,Residential,0,1,31,22.3,Borewell,6,2,0,453000,447500
Ozar,Nashik,20.8,Red,3,NA,0,1,43,7.6,Canal,9,1,1,806000,899500
Jategaon,Sinnar,18.58,Black_Red_Mixed,8,Agricultural,1,1,38,27.7,Well,7,5,1,145500,145500
Devdhari,Sinnar,12.05,Black,8,Commercial,1,1,98,6.4,None,2,5,1,463000,470500
Nandur,Nashik,2.57,Red,4,Agricultural,0,1,72,15.3,Borewell,10,1,0,463000,422000
Mhasrul,Niphad,8.21,Black,8,Agricultural,1,1,80,10.1,River,3,1,0,391500,374500
Uchit,Chandwad,23.26,Black_Red_Mixed,8,Agricultural,0,0,98,20.2,Well,2,2,0,66000,64500
Kasarwadi,Niphad,17.33,Black,8,Agricultural,1,0,64,23.8,Well,1,4,0,223000,218000
Peth,Nashik,8.78,Black_Red_Mixed,5,Commercial,0,0,24,14.2,Borewell,7,2,0,2221500,2421000
Deher,Chandwad,14.2,Red,6,Agricultural,0,1,41,27.8,Canal,3,3,0,74000,77000
Yeola,Yeola,21.11,Black,10,Residential,0,0,29,27.2,Canal,4,5,0,194500,179500
Pimpalgaon Baswant,Niphad,7.58,Black_Red_Mixed,7,Agricultural,0,0,57,9.8,None,10,2,0,144500,147000
Kalwan,Chandwad,17.72,Black_Red_Mixed,8,Agricultural,1,1,96,9.4,River,4,5,0,103000,106500
Mhasrul,Nashik,14.52,Black_Red_Mixed,7,NA,1,0,32,20.9,River,7,4,0,939500,1014500
Pandavleni,Sinnar,23.71,Black_Red_Mixed,5,Agricultural,1,0,82,13.4,None,1,3,0,121000,134500
Manur,Yeola,10.93,Red,6,Agricultural,1,1,96,3.3,Borewell,4,4,1,110500,102500
Girnare,Nashik,1.07,Black_Red_Mixed,8,Residential,1,1,19,16.6,Borewell,4,5,1,1059500,999500
Wadivarhe,Sinnar,18.58,Black,10,Residential,1,0,53,6.8,Well,3,1,1,422000,385000
Lasalgaon,Niphad,22.47,Black,8,Agricultural,1,1,45,5.5,River,6,2,0,387000,380500
Waghad,Nashik,13.5,Black_Red_Mixed,6,Residential,1,0,34,4.6,Canal,9,5,0,1284000,1326000
Palkhed,Niphad,24.53,Black,7,Commercial,0,1,56,15.1,Well,5,3,0,905000,967500
Khamgaon,Yeola,20.51,Red,6,Residential,1,1,98,18.9,None,6,1,0,176500,175500
Bhojapur,Niphad,11.78,Black,10,Agricultural,1,0,10,24.3,Canal,5,3,0,285000,278500
Deolali,Nashik,24.85,Black,10,Commercial,0,1,61,15.7,River,3,4,0,3031500,3063500
Pimpalgaon Baswant,Niphad,17.25,Black,10,Agricultural,1,0,35,26,Borewell,9,3,0,269000,253500
Nandur,Nashik,13.68,Black,8,Agricultural,1,1,58,9.2,Well,10,2,0,643500,737500
Darna,Niphad,13.21,Red,4,Residential,1,0,97,10.9,None,5,0,1,312000,277000
Nandur,Yeola,14.53,Black,9,NA,1,0,99,3.6,Borewell,9,5,0,236000,239000
Ambad,Nashik,9.33,Black,10,NA,1,0,46,1.8,Borewell,7,4,0,1309000,1494500
Wakad,Yeola,9.64,Black_Red_Mixed,7,Agricultural,1,1,18,2.8,None,10,0,0,107500,107500
Ambad,Nashik,12.53,Black_Red_Mixed,5,Residential,0,0,54,20,Canal,3,5,0,995500,982500
Wavi,Sinnar,4.6,Black,8,NA,1,1,89,23.7,Well,8,5,0,432000,421000
Mungse,Sinnar,16.09,Red,6,Agricultural,1,1,49,7.7,River,6,1,0,273000,269500
Wavi,Sinnar,19.15,Black,8,Agricultural,0,0,54,23.4,Borewell,5,0,1,143000,156500
Sonaj,Yeola,2.55,Red,4,Agricultural,1,1,39,26.1,River,7,5,0,92000,78000
Wakad,Yeola,11.32,Black_Red_Mixed,8,Residential,0,1,53,14.9,Borewell,8,2,0,244500,270500
Devpur,Niphad,13.14,Black_Red_Mixed,8,Agricultural,0,0,88,1.1,Borewell,6,4,0,255000,229500
Deolali,Nashik,16.93,Black_Red_Mixed,7,Agricultural,1,1,65,6.4,Borewell,4,2,0,715000,701500
Panchak,Nashik,2.95,Red,3,NA,0,1,57,24,None,9,2,0,512500,497000
Pimpalgaon Khamb,Nashik,15.34,Black_Red_Mixed,7,NA,1,0,55,24.8,Well,9,5,0,786500,819000
Shedbol,Yeola,18.15,Black,9,NA,1,0,15,26.6,Borewell,7,2,0,212500,188500
Malegaon,Sinnar,16.65,Black,9,Residential,0,1,83,15.6,None,8,4,1,247500,255500
Shirasgaon,Yeola,24.22,Red,5,Agricultural,1,1,79,8.5,Well,1,2,0,117500,134000
Ozar,Nashik,23.97,Black_Red_Mixed,7,NA,1,1,20,7.9,Borewell,3,3,0,1213000,1097500
Abhona,Niphad,8.77,Black,8,Agricultural,1,1,89,27.6,Canal,10,3,0,335000,339500
Shirsathe,Sinnar,23.53,Black,9,Agricultural,0,1,47,29,Borewell,1,0,1,170500,162500
Uchit,Chandwad,18.12,Black_Red_Mixed,6,Agricultural,1,0,52,28.9,Well,8,2,0,73500,75500
Darna,Niphad,5.42,Black,8,Agricultural,0,0,45,25.3,Canal,5,3,0,212000,212500
Peth,Nashik,10.33,Red,3,Commercial,1,1,27,21.2,River,4,0,1,2482000,2370500
Yeola,Yeola,16.52,Black,9,Agricultural,1,1,23,11.4,Borewell,3,3,0,130000,134500
Adgaon,Nashik,1.56,Red,4,Residential,1,1,72,2.1,Well,3,2,0,1576000,1775000
Deher,Chandwad,10.6,Red,3,Agricultural,0,1,11,14.8,River,9,3,0,63500,62500
Pimpri,Yeola,10.55,Black,9,Agricultural,1,1,61,11.4,Well,6,5,1,89000,93500
Niphad,Niphad,4.34,Red,7,Agricultural,0,1,94,15.7,Canal,7,4,0,244500,222500
Mohadi,Chandwad,6.99,Black_Red_Mixed,7,Agricultural,1,0,98,25.2,None,8,0,0,64500,60000
Palkhed,Niphad,16.83,Red,4,Residential,1,1,68,2.8,River,3,1,0,767500,793000
Kalwan,Chandwad,21.72,Red,7,Agricultural,0,1,71,16.4,Borewell,9,5,0,67000,74000
Kotamgaon,Nashik,3.81,Black_Red_Mixed,8,Commercial,1,0,74,29.8,Well,9,1,1,2278000,2334500
Satpur,Nashik,23.93,Black,8,NA,0,0,91,19,River,6,3,0,856000,837000
Pimpalgaon Dohe,Chandwad,5.02,Black_Red_Mixed,8,Agricultural,1,0,42,10,Well,6,5,0,72500,72500
Vinchur,Niphad,19.45,Black,8,Agricultural,0,1,67,27.7,Borewell,3,2,0,245500,224000
Shirasgaon,Yeola,8.44,Black,10,Agricultural,1,1,38,29.4,River,8,5,0,116000,121000
Thengode,Niphad,12.05,Black_Red_Mixed,5,Agricultural,1,1,46,12.1,Canal,4,4,0,288500,306500
Nampur,Yeola,9.66,Black,9,Agricultural,1,0,95,13,River,4,1,0,137500,133000
Wadivarhe,Sinnar,24.13,Black,9,Agricultural,1,1,13,0.4,River,3,1,0,350000,338500
Trimbak Road,Nashik,14.67,Black_Red_Mixed,7,Commercial,1,0,62,0.8,Canal,6,1,0,4168500,4246000
Lasalgaon,Niphad,5.83,Red,7,Agricultural,1,0,74,15,None,7,1,0,191500,185500
Vadgaon,Nashik,13.86,Black,7,Agricultural,1,1,56,24.6,Borewell,5,1,0,646000,643000
Gangapur,Nashik,15.99,Black_Red_Mixed,6,Agricultural,1,1,58,11,Well,10,2,0,581500,667000
Umrane,Chandwad,9,Black_Red_Mixed,7,NA,1,1,53,9.8,Canal,7,1,0,241000,237000
Shirsathe,Sinnar,3.09,Black_Red_Mixed,7,Residential,1,1,30,20.7,Borewell,6,1,1,431500,420500
Kasbe Sukene,Niphad,22.38,Red,7,Agricultural,1,1,50,3,Borewell,3,0,0,400000,382000
Borgaon,Chandwad,7.56,Black,8,Agricultural,0,1,95,4.2,Canal,10,2,0,109000,114500
Bhojapur,Niphad,3.75,Red,4,Residential,1,1,32,21.7,Borewell,3,5,1,376500,371500
Umrane,Chandwad,0.49,Black_Red_Mixed,6,Commercial,1,0,12,17.3,Borewell,2,4,1,204000,194500
Dwarka,Nashik,9,Black_Red_Mixed,5,Residential,0,1,87,27.4,Borewell,4,1,0,1391500,1520000
Satpur,Nashik,13.95,Black_Red_Mixed,5,Agricultural,0,1,39,7.9,Canal,6,3,0,494000,543000
Kasarwadi,Niphad,10.95,Black,10,Agricultural,1,0,40,8.8,Borewell,2,1,0,337500,323500
Palkhed,Niphad,22.1,Black_Red_Mixed,5,Commercial,0,0,49,16.9,Borewell,9,4,0,727500,632500
Khambale,Sinnar,17.86,Black_Red_Mixed,8,Agricultural,1,0,83,3.3,Canal,10,0,0,315500,338000
Ozar,Niphad,5.01,Black,8,Agricultural,1,0,65,26.4,Canal,8,0,1,271000,258000
Vani,Chandwad,22.8,Black,8,NA,1,0,24,26.6,River,8,2,0,175500,185000
Yeola,Yeola,3.02,Black_Red_Mixed,6,Agricultural,1,0,43,17.8,Well,8,0,0,103000,89000
Devdhari,Sinnar,8.79,Red,6,Agricultural,1,0,100,25.8,Well,4,0,1,164500,175000
Karanjkhed,Yeola,3.16,Black,8,NA,1,1,19,2.9,None,1,2,0,196000,179500
Shirsathe,Sinnar,24.42,Red,4,Residential,1,1,36,1.9,Well,8,0,0,568500,597500
Pale,Sinnar,10.21,Black_Red_Mixed,8,Agricultural,1,1,27,29.6,Borewell,8,0,0,255500,256000
Karanjwan,Niphad,13.19,Black,7,NA,1,0,93,1.6,Well,4,1,0,674000,629000
Niphad,Niphad,20.03,Black_Red_Mixed,8,Agricultural,1,1,77,16.6,Canal,3,1,0,383500,372500
Sinnar,Sinnar,21.06,Black_Red_Mixed,6,Agricultural,1,1,98,4.3,Well,6,5,0,211500,221500
Ambad,Nashik,5.49,Red,7,Commercial,1,1,49,15.6,Borewell,4,3,0,3004500,3027000
Kherwadi,Sinnar,13.81,Black_Red_Mixed,8,Residential,1,0,40,16,Borewell,4,3,0,426000,443500
Anandwalli,Nashik,10.48,Red,5,Agricultural,1,1,44,3,Borewell,2,1,0,736500,800000
Ozar,Nashik,8.49,Red,7,Agricultural,1,0,55,15.5,Borewell,2,0,0,603500,537500
Satpur,Nashik,9.4,Black,7,Residential,1,1,18,2.3,Canal,2,0,0,2222500,2474000
Kalwan,Chandwad,21.97,Black,8,Agricultural,1,1,53,10.3,Canal,7,2,1,100000,100500
Pimpalgaon Baswant,Niphad,12.64,Black,9,Commercial,1,1,39,15,Borewell,5,0,0,1360500,1275000
Nagarsul,Chandwad,15.89,Black,9,Residential,1,1,64,1,Borewell,1,0,0,250000,226500
Uchit,Chandwad,4.02,Red,4,Commercial,1,1,44,20.6,Canal,8,5,1,231000,228000
Mhasrul,Niphad,5.99,Black,7,Commercial,0,1,67,0.7,River,4,2,0,1464500,1559000
Borwadi,Yeola,2.35,Black_Red_Mixed,7,Agricultural,0,0,98,23.7,None,1,1,0,58000,57500
Pale,Sinnar,14.16,Black,10,Residential,0,1,32,24.3,None,6,5,0,275000,304000
Ambad,Nashik,7.8,Black,9,Agricultural,1,1,83,9.9,Borewell,2,5,0,618000,555000
Peth,Nashik,21.16,Black,9,Agricultural,0,0,63,29,River,2,5,1,309500,309000
Saundane,Niphad,11.66,Black_Red_Mixed,7,NA,0,0,50,20.3,River,4,4,0,369000,336500
Abhona,Niphad,22.76,Black_Red_Mixed,8,Residential,1,1,15,1.7,Well,8,4,1,542500,556500
Kasarwadi,Niphad,7.28,Black_Red_Mixed,8,Agricultural,0,1,15,25.7,None,10,2,0,153000,162500
Saundane,Niphad,4.55,Black_Red_Mixed,6,Agricultural,1,0,79,6.1,Borewell,3,5,0,250500,243000
Peth,Nashik,21.52,Black_Red_Mixed,5,NA,0,0,51,11.4,Canal,8,0,1,761000,622500
Waghad,Nashik,3.46,Black_Red_Mixed,5,Residential,1,1,14,20.3,Canal,10,2,0,1476500,1497000
Yeola,Yeola,12.32,Black_Red_Mixed,5,Commercial,0,1,61,7.8,Well,2,0,1,329500,339500
Mangi,Chandwad,1.74,Black_Red_Mixed,7,Residential,0,1,72,6.5,River,9,4,1,158500,163000
Pimpalgaon Rotha,Yeola,6.22,Red,6,Commercial,1,1,73,13.8,Borewell,9,4,1,320500,348000
Mungse,Sinnar,6.25,Black,7,Agricultural,1,1,81,24.9,Canal,3,1,0,269500,249500
Jategaon,Sinnar,1.74,Black_Red_Mixed,8,Agricultural,0,1,56,27.3,River,9,1,1,165000,173000
Chandanpuri,Sinnar,11.62,Black_Red_Mixed,8,Residential,1,0,23,23.1,Borewell,1,1,0,461000,499500
Yeola,Yeola,20.84,Black_Red_Mixed,5,Agricultural,1,1,17,15.9,Canal,7,5,0,102000,89500
Panchak,Nashik,5.81,Black,7,NA,1,1,44,15.2,Canal,7,3,0,1258000,1286000
Umbarkhed,Sinnar,23.36,Black,10,Agricultural,1,1,96,25.9,River,7,2,0,277000,267000
Nandur,Nashik,9.17,Black,8,Agricultural,1,1,73,14.4,Well,1,1,0,652000,648500
Shirasgaon,Yeola,1.76,Black_Red_Mixed,6,Agricultural,1,0,37,3.8,River,5,2,0,126000,129000
Thergaon,Chandwad,5.76,Black,7,Commercial,1,1,43,23.3,Borewell,7,1,0,371500,359000
Trimbak Road,Nashik,3.88,Black,10,Agricultural,1,0,53,21.3,Borewell,10,4,1,429000,408500
Devpur,Niphad,21.05,Red,6,Residential,1,1,36,5.9,Well,4,1,1,531500,533000
Bhojapur,Niphad,23.61,Black_Red_Mixed,6,Residential,1,0,27,26.9,River,4,3,0,499000,461000
Darna,Niphad,5.4,Black,8,Residential,1,1,16,0.3,Canal,5,1,0,800000,739000
Deolali,Nashik,5.31,Black_Red_Mixed,7,Agricultural,0,1,97,3.8,Canal,9,1,0,688000,720500
Satpur,Nashik,3.42,Black_Red_Mixed,5,Agricultural,0,0,77,24,Canal,6,5,0,344500,317000
Vadgaon,Nashik,14.39,Black,7,Residential,1,1,57,25.3,Well,5,5,1,955000,999500
Devpur,Niphad,12.36,Black_Red_Mixed,6,Agricultural,1,1,13,9.8,River,8,1,0,340500,351500
Mohadi,Chandwad,10.86,Black_Red_Mixed,6,Agricultural,1,1,81,6.5,River,1,1,0,120000,105500
Wavi,Sinnar,11.85,Red,7,Residential,1,0,57,0.8,Borewell,10,4,0,519000,494500
Umbarkhed,Sinnar,24.11,Red,3,NA,1,0,11,11.9,Well,9,3,0,327500,355000
Pimpri,Yeola,16.24,Black,9,Agricultural,1,1,82,17.4,Canal,4,1,0,150000,139500
Girnare,Nashik,2.45,Black_Red_Mixed,6,Agricultural,0,0,70,11.5,Borewell,6,2,0,422500,409000
Ozar,Nashik,7.55,Black_Red_Mixed,8,Agricultural,1,1,86,8.7,Borewell,10,2,0,729000,752500
Khamgaon,Yeola,9.22,Red,5,Agricultural,1,1,37,1,Borewell,2,0,0,150000,150000
Shedbol,Yeola,23.52,Black,10,Agricultural,1,0,59,19.7,Well,3,1,1,94000,92500
Mhasrul,Niphad,11.44,Black_Red_Mixed,5,Agricultural,1,1,84,3.8,Canal,5,4,0,343000,328500
Nashik Road,Nashik,18.76,Black,8,Agricultural,0,1,81,26.6,Canal,4,5,0,452000,497000
Peth,Nashik,15.84,Black,10,Commercial,1,1,88,20.2,Canal,8,0,1,3633000,4075000
Peth,Nashik,16.05,Black_Red_Mixed,5,Agricultural,1,1,44,12.6,None,5,2,1,317000,338500
Vithapur,Yeola,13.6,Red,3,Residential,1,1,51,4,None,1,5,0,137000,138000
Satpur,Nashik,13.94,Black_Red_Mixed,7,Residential,1,1,79,15.1,None,5,1,1,897000,846000
Girnare,Nashik,20.53,Black_Red_Mixed,6,Agricultural,1,1,17,4.6,Borewell,10,5,0,567000,534000
Pale,Sinnar,9.98,Black_Red_Mixed,6,Agricultural,0,1,39,10.8,Canal,10,2,0,196500,203500
Chandori,Niphad,17.23,Black,8,Agricultural,0,1,15,6.4,None,7,4,0,157500,162000
Anandwalli,Nashik,14.79,Black,10,Agricultural,1,1,84,3.8,River,2,3,0,800000,800000
Karanjwan,Niphad,1.35,Red,7,Residential,1,1,54,16.6,Well,9,5,1,401500,420000
Darna,Niphad,22.6,Black,9,Agricultural,1,0,37,11.2,River,7,5,0,259000,231500
Ambad,Nashik,20.42,Black_Red_Mixed,7,Residential,1,0,85,10.2,None,4,4,0,822000,882500
Chandwad,Chandwad,1.95,Red,5,Residential,0,1,57,16.8,Well,2,4,0,140500,130500
Jategaon,Sinnar,3.12,Red,5,Agricultural,1,0,22,20.2,River,10,1,1,159500,155000
Chinchpada,Sinnar,11.09,Black_Red_Mixed,8,Agricultural,0,0,49,18.3,Borewell,4,5,0,132500,135000
Chandrapur,Yeola,22.7,Red,5,Agricultural,1,1,86,12.7,Borewell,10,1,0,130000,148000
Ozar,Niphad,7.17,Black,8,Agricultural,1,1,43,1.3,Borewell,4,3,1,320000,389500
Watane,Niphad,12.53,Black_Red_Mixed,7,Agricultural,1,0,10,11.7,Borewell,3,3,0,251500,262000
Manur,Yeola,16.33,Red,6,NA,1,1,64,9.6,Canal,3,0,0,300000,296000
Satpur,Nashik,13.67,Red,4,Residential,1,1,96,18.5,Canal,4,1,0,1619500,1680000
Panchak,Nashik,21.9,Black_Red_Mixed,8,NA,1,0,29,6.7,River,6,4,0,1086500,1154000
Khambale,Sinnar,17.6,Red,3,Residential,1,1,91,3.3,River,9,0,1,508500,497000
Peth,Nashik,4.29,Black,7,Residential,1,0,25,12.2,Borewell,2,5,1,890500,1002500
Kadwa,Yeola,6.56,Red,6,Residential,1,1,98,18.4,None,5,0,1,152500,155000
Wadangali,Sinnar,7.01,Black_Red_Mixed,7,Agricultural,1,0,61,0.4,Canal,6,4,0,258500,267500
Shedbol,Yeola,6.74,Black,8,NA,1,1,54,17.2,Borewell,5,1,0,269000,281500
Anandwalli,Nashik,3.79,Black_Red_Mixed,5,Agricultural,1,1,93,13.3,Well,6,1,0,594500,612000
Tarsa,Sinnar,11.49,Red,7,Agricultural,1,1,15,3,None,5,3,0,170000,180000
Saptashringi,Chandwad,3.31,Red,6,Residential,0,1,27,29,None,7,1,0,119000,114000
Nandur,Nashik,2.35,Red,6,Agricultural,1,1,11,23.1,Well,9,1,0,544000,522500
Talegaon,Chandwad,14.96,Black_Red_Mixed,8,Agricultural,0,1,58,4.8,Well,8,5,0,72500,67000
Devpur,Niphad,20.59,Black_Red_Mixed,6,Agricultural,1,0,28,8.3,None,6,1,0,188000,194000
Manur,Yeola,0.27,Black,9,NA,1,1,23,10.9,River,6,1,0,294500,300000
Adgaon,Nashik,8.43,Red,4,Residential,1,1,62,0.6,Canal,10,1,0,2104500,2172000
Vinchur,Niphad,3.39,Black_Red_Mixed,5,Agricultural,0,0,84,8.2,Borewell,4,5,0,179000,200000
Nandur,Yeola,7.21,Black,10,Agricultural,0,1,35,20.5,Canal,8,4,0,101000,101000
Saundane,Niphad,1.37,Black,7,Agricultural,1,0,37,14.8,None,9,0,0,193500,202500
Nandur Madhyameshwar,Sinnar,20.15,Black_Red_Mixed,6,Residential,0,1,69,15.6,Canal,7,1,0,525000,485000
Kotamgaon,Nashik,11.43,Black,9,Residential,1,1,48,15.1,None,3,1,0,1145000,1114000
Uchit,Chandwad,8.04,Black,8,Agricultural,0,1,18,27,None,9,1,0,52500,55000
Adgaon,Nashik,6.48,Black,8,Agricultural,1,0,43,13.3,Well,7,3,0,488500,517500
Chinchpada,Sinnar,13.76,Black_Red_Mixed,7,Residential,1,1,95,4,Canal,6,1,0,600000,587500
Karanjkhed,Yeola,17.99,Black,9,NA,0,1,100,4.2,Borewell,1,3,1,193000,192000
Nandur,Yeola,6.61,Red,4,Agricultural,1,0,59,2.5,None,6,1,0,81000,72500
Saptashringi,Chandwad,23.3,Black,10,Agricultural,1,0,86,23.9,None,2,0,0,71500,69500
Adgaon,Nashik,20.51,Red,7,Commercial,0,1,88,14.1,Borewell,1,5,0,2510000,2666500
Wadangali,Sinnar,7.54,Black_Red_Mixed,8,Agricultural,1,1,80,21.5,Canal,9,4,0,237500,247000
Umrane,Yeola,12.92,Black,8,Agricultural,1,0,87,7.7,Well,4,4,0,103500,107000
Kelzar,Chandwad,21.72,Red,4,Agricultural,0,0,87,9.7,Canal,8,0,0,79500,80000
Chandori,Niphad,24.52,Black_Red_Mixed,6,Residential,1,1,70,21.7,Well,1,3,0,536500,537000
Vadgaon,Nashik,21.53,Red,5,Agricultural,0,1,58,28.9,Borewell,9,1,0,455500,434500
Talegaon,Chandwad,3.39,Black_Red_Mixed,6,Residential,1,1,78,5,Canal,5,3,0,235000,246500
Mhasrul,Nashik,15.07,Black,7,Commercial,1,1,85,29.9,Well,3,5,0,2485500,2558500
Saptashringi,Chandwad,16.59,Black,9,Agricultural,1,0,35,7.6,None,4,2,0,66000,68500
Borwadi,Yeola,21.99,Black_Red_Mixed,5,Commercial,1,1,65,10.6,Borewell,5,1,0,449000,432500
Mangi,Chandwad,11.83,Black_Red_Mixed,8,Residential,0,1,38,23.7,Borewell,9,0,0,210500,179000
Trimbak Road,Nashik,14.59,Red,7,Residential,1,1,43,5.1,Canal,8,4,0,1665000,1793000
Kalwan,Chandwad,19.14,Black_Red_Mixed,8,Agricultural,1,1,69,12.9,Well,8,2,0,101500,98000
Waghad,Nashik,10.77,Black,9,Agricultural,0,1,84,10.4,River,9,0,1,539500,507000
Tarsa,Sinnar,4.68,Red,4,Agricultural,1,0,72,25.5,Borewell,1,0,0,195500,205000
Kasarwadi,Niphad,2.88,Black,7,Agricultural,0,0,42,15,Borewell,2,2,1,169500,165000
Wadivarhe,Sinnar,0.31,Black_Red_Mixed,8,Agricultural,1,1,42,24.8,River,1,2,1,201000,216000
Mohadi,Chandwad,14.37,Black,10,Agricultural,1,0,68,18.4,Canal,8,5,0,89000,93000
Deolali,Nashik,14.7,Black,7,Residential,1,1,65,9.2,Canal,1,2,0,1778000,1863000
Panchak,Nashik,11.11,Black,9,Commercial,1,1,95,25.3,Canal,6,5,0,3221500,2913500
Watane,Niphad,11.81,Black,9,Agricultural,1,1,69,20.3,Borewell,3,5,1,231000,250500
Panchak,Nashik,10.74,Black,10,Residential,0,1,53,20.2,Well,6,4,0,1262500,1285500
Kelzar,Chandwad,7.51,Black,8,Commercial,1,0,73,1.6,Well,3,3,0,352500,343500
Vadgaon,Nashik,22.15,Red,5,NA,1,1,52,15.6,Canal,7,3,0,1166500,1178000
Kadwa,Yeola,24.32,Black_Red_Mixed,7,Agricultural,1,1,45,25.6,None,6,5,0,65500,57500
Pale,Sinnar,0.83,Black,10,Agricultural,1,0,44,20.4,River,10,3,0,216000,222000
Girnare,Nashik,6.65,Red,4,Agricultural,1,0,14,23.2,Well,1,2,0,403500,374500
Bhojapur,Niphad,9.45,Black_Red_Mixed,6,Agricultural,1,0,86,11.5,None,9,0,0,202500,183500
Nashik Road,Nashik,12,Black_Red_Mixed,5,Commercial,1,0,10,21.7,Well,3,5,0,1811500,1618500
Chandori,Niphad,1.39,Black_Red_Mixed,6,Agricultural,1,1,67,19,Well,4,2,1,226500,244000
Vadgaon,Nashik,6.85,Red,6,Residential,1,0,27,27.1,Borewell,10,4,0,1080000,1032500
Kasarwadi,Niphad,3.88,Black,9,Residential,0,1,12,5.5,Well,1,3,1,478000,529500
Kasarwadi,Niphad,8.37,Black,9,NA,1,1,70,6.1,Borewell,4,0,0,800000,770000
Mhasrul,Nashik,22.26,Black_Red_Mixed,7,Agricultural,1,1,36,25.7,Borewell,6,5,0,499000,439500
Mulegaon,Sinnar,10.39,Black,10,Agricultural,1,1,52,13,Well,8,0,0,274500,253000
Talegaon,Chandwad,17.08,Black,8,NA,0,1,22,25.9,Canal,3,1,0,174000,189000
Girnare,Nashik,16.2,Black_Red_Mixed,7,Commercial,0,1,36,27.3,Borewell,7,4,0,2519000,2491500
Pimpalgaon Khamb,Nashik,19.52,Black,7,Residential,1,1,92,11,None,7,2,0,1074500,1033500
Kasbe Sukene,Niphad,13.31,Red,5,Agricultural,1,1,35,24.2,Borewell,9,2,0,276500,279500
Trimbak Road,Nashik,16.58,Black_Red_Mixed,5,Residential,1,1,71,5.6,Borewell,1,1,0,1701500,1761500
Pimpalgaon Khamb,Nashik,6.31,Black_Red_Mixed,8,Residential,0,1,20,12.9,River,6,5,0,1246000,1343500
Kadwa,Yeola,24.85,Red,7,NA,1,1,85,6.5,Borewell,3,5,0,233500,257000
Chandanpuri,Sinnar,11.03,Red,5,Agricultural,1,1,25,22.3,Borewell,1,1,0,218000,212500
Wavi,Sinnar,10.2,Black,7,Commercial,1,0,41,10.8,None,6,2,1,411000,373000
Chandwad,Chandwad,11.14,Black_Red_Mixed,5,Residential,0,1,17,24.1,Canal,4,1,0,189000,183500
Kasarwadi,Niphad,9.09,Black,9,Agricultural,0,0,95,28.4,Borewell,1,5,1,154000,157000
Uchit,Chandwad,20.24,Black,7,Residential,0,0,17,27.3,Well,9,2,0,138500,129000
Mhasrul,Niphad,9.13,Red,6,NA,1,1,77,28.2,Borewell,6,5,0,492500,459500
Ambad,Nashik,9.53,Black,8,Agricultural,1,0,75,26.1,Well,5,1,0,534000,547000
